Job_id,Job title,Job posting date,Job posting url,Job location,Pay rate,Vendor company name,Job type,Work from availability,Work type(remote/on-site),Modified Date,Current date time (CST),Job Title
42cc42d30a7c3c8720f9a690b303337b,Data Analyst,2024-02-06T14:14:29Z,https://www.dice.com/job-detail/79393314-9207-4310-ba5e-3e4f78879a80,"Richmond, VA, USA",Depends on Experience,"Vector Consulting, Inc","Third Party, Contract",TRUE,Hybrid/Onsite,2024-02-06T14:59:04Z,2024-02-06T10:35:13Z,Data Analyst
ae6c012067ba481092e1959f63083518,Sr Data Analyst,2024-02-05T21:53:02Z,https://www.dice.com/job-detail/40e0b0c8-4b07-4e2f-8382-3b9d1648bc3a,"New York, NY, USA",Depends on Experience,Intraedge,Contract,FALSE,Hybrid/Onsite,2024-02-05T21:53:02Z,2024-02-06T10:35:13Z,Data Analyst
b2a3715fdae552ef9f95594dc180c73f,Healthcare Data Analyst,2024-02-06T14:28:28Z,https://www.dice.com/job-detail/aae74515-36ed-4c4e-b82d-c83ccac8682e,,Depends on Experience,Combined Computer Resources,Contract,FALSE,Remote,2024-02-06T14:28:28Z,2024-02-06T10:35:13Z,Data Analyst
9c84def855db89e89737a07c3154c9a2,Data Analyst 4,2024-02-06T15:39:33Z,https://www.dice.com/job-detail/0ba10986-1e9d-4af6-90e0-9eb3415b8087,"Richmond, VA, USA",Depends on Experience,"V.L.S. Systems, Inc",Contract,FALSE,Hybrid/Onsite,2024-02-06T15:40:11Z,2024-02-06T10:35:13Z,Data Analyst
9f1d2b9d3525187acdb08a7015009807,Data Analyst,2024-02-06T14:53:55Z,https://www.dice.com/job-detail/0eb5a2d1-cce2-4f82-b80b-25656fbaa32a,"Richmond, VA, USA",Depends on Experience,Innosoul inc,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-02-06T14:53:55Z,2024-02-06T10:35:13Z,Data Analyst
007648394099dde23accf3e88c627129,Health care Data Analyst On W2,2024-02-05T23:12:34Z,https://www.dice.com/job-detail/ff2ced38-1313-4cf9-adf0-593dc66d9591,"Fairfield, CA, USA",$50 - $60,Future Vision 360,Contract,FALSE,Hybrid/Onsite,2024-02-05T23:12:34Z,2024-02-06T10:35:13Z,Data Analyst
9b06016b3a23740c285ef3cae24a7a07,FULLY REMOTE - Business Data Analyst,2024-02-06T16:12:32Z,https://www.dice.com/job-detail/66aa3cfa-a03e-4361-a31d-f4cc39fa06ff,,$50 - $60,Bayforce,Contract,FALSE,Remote,2024-02-06T16:12:32Z,2024-02-06T10:35:13Z,Data Analyst
97dec9b09e3b64755d716836c0cea739,Data Analyst w/ Hadoop & Teradata,2024-02-06T00:10:18Z,https://www.dice.com/job-detail/fc3d2f0b-4d23-4c1f-8757-3e30cda2b7ad,"Dallas, TX, USA",,Dexian Signature Consultants,Contract,FALSE,Hybrid/Onsite,2024-02-06T16:09:49Z,2024-02-06T10:35:13Z,Data Analyst
b8e47401cfb98cd539bb1642875bcb4c,Research / Data Analyst Senior,2024-02-05T22:15:31Z,https://www.dice.com/job-detail/f2e6a5c9-dc7d-477e-bb7c-44677eaacadd,"Atlanta, GA, USA",Depends on Experience,"Think Development Systems, Inc.","Contract, Third Party",FALSE,Hybrid/Onsite,2024-02-05T22:15:31Z,2024-02-06T10:35:13Z,Data Analyst
3aa731f68fc4f18daf03d8f9d0264a85,Sr. Data Analyst with Splunk experience,2024-02-06T15:16:45Z,https://www.dice.com/job-detail/982f7398-66bc-4234-a010-284fb8f61db4,,Depends on Experience,"cyberThink, Inc.","Third Party, Contract",FALSE,Remote,2024-02-06T15:16:45Z,2024-02-06T10:35:13Z,Data Analyst
9a8929bb320572c792c63e5a73c583d1,"Workday Lead-Data Analyst (Chicago, IL complete onsite)",2024-02-06T15:06:35Z,https://www.dice.com/job-detail/dd369087-1dc1-45d5-9f85-a402f8a82763,"Chicago, IL, USA",Depends on Experience,HCL Global Systems,Contract,FALSE,Hybrid/Onsite,2024-02-06T15:06:35Z,2024-02-06T10:35:13Z,Data Analyst
76d42923a3497e28d5bc9626357195ad,Richmond Locals Python Data Analyst (F2F Interview),2024-02-06T15:39:56Z,https://www.dice.com/job-detail/f2e594f4-12de-4005-831a-7fd24a1bd91c,"Richmond, VA, USA",$50 - $60,Talent Hires,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-02-06T15:39:56Z,2024-02-06T10:35:13Z,Data Analyst
21bb281da649949879595a8163556ad3,Business Data Analyst,2024-02-06T13:43:59Z,https://www.dice.com/job-detail/b416b9f4-1f08-4997-a9e1-78f423f47784,"Philadelphia, PA, USA",Depends on Experience,HAN IT Staffing Inc.,Contract,FALSE,Hybrid/Onsite,2024-02-06T13:43:59Z,2024-02-06T10:35:13Z,Data Analyst
cb6b622d0186e2dea9e358fb20ca5538,"Data Analyst || Any Visa is Fine Except H1B, OPT & CPT ||",2024-02-06T16:13:57Z,https://www.dice.com/job-detail/b39107c8-fac0-4fee-a1a6-0e4a8ec5cdf7,"New York, NY, USA",Depends on Experience,Shiro Technologies,Contract,FALSE,Hybrid/Onsite,2024-02-06T16:13:57Z,2024-02-06T10:35:13Z,Data Analyst
2a584bc87bc2f16d4e624c4789443c17,Workday Data Analyst,2024-02-06T15:51:17Z,https://www.dice.com/job-detail/fb4ff8f1-b513-4e43-bd81-df4e223aa5c3,"West Chicago, IL, USA",Depends on Experience,Diamond Pick,Contract,FALSE,Hybrid/Onsite,2024-02-06T15:51:17Z,2024-02-06T10:35:13Z,Data Analyst
