Title,City,Salary,EmploymentType,JobURL,Company,Posted_date,RemoteStatus,JobID,Current date time (CST)
People Data Analyst,Los Angeles,$56 - $69 / hr,Contractor,"https://www.ziprecruiter.com/c/WAVSYS/Job/People-Data-Analyst/-in-Los-Angeles,CA?jid=8d6ab342d9f4acb3",WAVSYS,2024-02-02T17:37:56Z,,8d6ab342d9f4acb3,2024-02-06T10:31:24Z
Data Analyst,Antioch,$44 - $46.21 / hr,Contractor,"https://www.ziprecruiter.com/c/Alpha-Consulting-Corp./Job/Data-Analyst/-in-Antioch,IL?jid=7518e4f178a979d4",Alpha Consulting Corp.,2024-01-05T08:00:00Z,,7518e4f178a979d4,2024-02-06T10:31:24Z
Claims Recovery Data Analyst | Contract,Orange County,$30 - $42 / hr,Contractor,"https://www.ziprecruiter.com/c/Consilio-Enterprise-Talent-Solutions/Job/Claims-Recovery-Data-Analyst-|-Contract/-in-Orange-County,CA?jid=ef330983030051b2",Consilio - Enterprise Talent Solutions,2024-01-22T22:48:50Z,,ef330983030051b2,2024-02-06T10:31:24Z
Stability Analyst,Rocklin,$20 - $25 / hr,Contractor,"https://www.ziprecruiter.com/c/Ronin-Staffing,-LLC/Job/Stability-Analyst/-in-Rocklin,CA?jid=5eddba37f61ecfe4","Ronin Staffing, LLC",2024-01-24T20:17:24Z,,5eddba37f61ecfe4,2024-02-06T10:31:24Z
Business Systems Analyst,San Diego,$32 / hr,Contractor,"https://www.ziprecruiter.com/c/A.P.R.,-Inc.-(AlphaProTemps)/Job/Business-Systems-Analyst/-in-San-Diego,CA?jid=2d244d720e7c9bd4","A.P.R., Inc. (AlphaProTemps)",2024-01-26T01:14:58Z,,2d244d720e7c9bd4,2024-02-06T10:31:24Z
Data Analytics Engineer,Santa Monica,$90K - $120K / yr,Contractor,"https://www.ziprecruiter.com/c/Oceanfront-Analytics/Job/Data-Analytics-Engineer/-in-Santa-Monica,CA?jid=6794a96540943187",Oceanfront Analytics,2023-08-30T14:37:45Z,,6794a96540943187,2024-02-06T10:31:24Z
FT Contract Opportunity | Business Systems Analyst | Remote,Redmond,$70K - $80K / yr,Contractor,"https://www.ziprecruiter.com/c/Lucid-Consulting-Group/Job/FT-Contract-Opportunity-|-Business-Systems-Analyst-|-Remote/-in-Redmond,WA?jid=1409600541874c64",Lucid Consulting Group,2023-12-30T14:35:33Z,remote,1409600541874c64,2024-02-06T10:31:24Z
Sr Data Analyst,Englewood,$46.88 - $56.25 / hr,Contractor,"https://www.ziprecruiter.com/c/TEKsystems/Job/Sr-Data-Analyst/-in-Englewood,CO?jid=0903eb2d3b19a9cc",TEKsystems,2024-02-03T00:08:06Z,,0903eb2d3b19a9cc,2024-02-06T10:31:24Z
Data Analyst,Naperville,$0 / ,Contractor,"https://www.ziprecruiter.com/c/Perfict-Global/Job/Data-Analyst/-in-Naperville,IL?jid=2f5c7fa68ef4b9a9",Perfict Global,2024-01-31T08:00:00Z,,2f5c7fa68ef4b9a9,2024-02-06T10:31:24Z
Test Lab Equipment Operator,Sunnyvale,$27 / hr,Contractor,"https://www.ziprecruiter.com/c/Akkodis/Job/Test-Lab-Equipment-Operator/-in-Sunnyvale,CA?jid=351f81aefeb1f4af",Akkodis,2024-01-30T19:24:56Z,,351f81aefeb1f4af,2024-02-06T10:31:24Z
